공모명,분야,주최 기관,조회수,링크,이미지,응모대상,접수기간,1등 상금,홈페이지
2024 메타베이프 제1회 사진 공모전,분야 : 영상/UCC/사진,(주)메타베이프,459,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93390,/upload/contest/20241114144704_18c3fb3b.jpg,제한없음,2024-11-14 ~ 2024-11-28,300만원,https://www.instagram.com/metavape.official/
제 1회 금천50플러스센터 꽃중년 밴드 페스티벌 참가 신청 안내,분야 : 예체능/미술/음악,금천50플러스센터,87,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93389,/upload/contest/20241114204256_7c636d5b.jpg,기타,2024-11-14 ~ 2024-11-29,,https://www.50plus.or.kr/gch/detail.do?id=44437912
(가칭)전주전시컨벤션센터 명칭 공모전,분야 : 네이밍/슬로건,전주시,641,?c=find&s=1&gub=1&gbn=view&gp=5&ix=93388,/upload/contest/20241114203317_443046d2.jpg,제한없음,2024-11-11 ~ 2024-11-25,40만원,https://jeonju.go.kr/reserve/planweb/board/view.9is?dataUid=9be517a8914526ec01930a087b0b2b5d&contentUid=ff8080818990c349018b3b4bbba65491&boardUid=ff8080818990c349018b3b444653547f
제1회 경주로ON 숏폼 콘텐츠 공모전,분야 : 영상/UCC/사진,(재)경주스마트미디어센터,465,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93387,/upload/contest/20241114144135_7c11f3fc.jpg,제한없음,2024-11-07 ~ 2024-11-30,,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93387
2024 추락사고 예방 아이디어 공모전,분야 : 기획/아이디어,건설산업 이미지 개선 협의체,663,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93386,/upload/contest/20241114193933_06f21aa0.jpg,"일반인, 대학생, 기타",2024-11-20 ~ 2024-12-11,500만원,https://safe-contest.co.kr/
2024 경남도민과 함께 지역사회서비스 아이디어 공모전,분야 : 기획/아이디어,(재)경상남도사회서비스원 경상남도지역사회서비스지원단,315,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93382,/upload/contest/20241114004726_c53be54d.jpg,"제한없음, 기타",2024-11-14 ~ 2024-11-27,,http://www.gnssc.or.kr
2024 지방활성화 정책 아이디어 공모전,분야 : 기획/아이디어,지방시대위원회,803,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93380,/upload/contest/20241113201559_240205ca.jpg,제한없음,2024-11-13 ~ 2024-12-08,70만원,https://www.balance.go.kr/base/board/read?boardManagementNo=10&boardNo=9417&menuLevel=2&menuNo=40
[충북청소년성문화센터] 디지털성범죄근절 불법촬영예방 댄스챌린지,분야 : 영상/UCC/사진,충청북도청소년종합진흥원청소년성문화센터,202,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93375,/upload/contest/20241113195800_6172fe36.jpg,제한없음,2024-11-13 ~ 2024-11-27,30만원,http://www.cbsay.or.kr/www/brd/view/1609405038531676?brdKey=1731482428765207
[광진인터넷중독예방상담센터] 소중한 순간을 사진과 영원히 사진공모전,분야 : 영상/UCC/사진,광진인터넷중독예방상담센터,509,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93374,/upload/contest/20241113155611_e27152e7.jpg,"청소년, 기타",2024-10-28 ~ 2024-11-23,,http://www.gjiwill.or.kr/board/view/program/1760
2024 충남 제3회 전국대학영화제,분야 : 영상/UCC/사진,한국영화인총연합회 충남지회,358,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93373,/upload/contest/20241113163000_2bb964fc.jpg,대학생,2024-11-11 ~ 2024-11-22,,http://kcinema.egong.net/bbs/board.php?bo_table=notice&wr_id=8
제 4 회 쿠마 켄고&히가시카와 KAGU 디자인 공모전,분야 : 디자인/캐릭터/웹툰,쿠마 켄고＆히가시카와 KAGU디자인 공모전 실행위원회,"1,042",?c=find&s=1&gub=1&gbn=view&gp=6&ix=93369,/upload/contest/20241113153532_e145293f.jpg,"대학생, 기타",2024-11-01 ~ 2024-12-30,"500,000엔",https://www.kagu-higashikawa.jp/en/
2025년 기획재정부 18기 대학생 소셜미디어 기자단 모집,분야 : 대외활동/서포터즈,기획재정부,714,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93367,/upload/contest/20241113143540_cc95d09d.jpg,대학생,2024-11-12 ~ 2024-12-01,,https://blog.naver.com/mosfnet/223657314428
시안장학회 2025년 장학생 모집,분야 : 기타,금강주택,325,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93363,/upload/contest/20241113142311_359e5fc2.jpg,청소년,2024-11-13 ~ 2024-11-29,,http://sian.kkapt.co.kr/modules/board/bd_view.html?id=news&no=40&mc_code=1210
국가기록박물관 국제설계공모,분야 : 건축/건설/인테리어,행정중심복합도시건설청,572,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93361,/upload/contest/20241113135406_3f4f0360.jpg,기타,2024-11-13 ~ 2024-12-11,,http://www.archivesmuseum.kr
아동권리보장원 365 매일이 어린이날 포스터 공모전,분야 : 디자인/캐릭터/웹툰,아동권리보장원,746,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93360,/upload/contest/20241113215934_5beb5569.jpg,"청소년, 어린이, 기타",2024-11-11 ~ 2024-12-17,,http://kaccc.org/bbs/board.php?bo_table=B05&wr_id=971
[인천서구가족센터] 2024년 온가족보듬사업 보듬매니저 2차 모집,분야 : 봉사활동,인천서구가족센터,169,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93356,/upload/contest/20241113132934_9a041d23.jpg,"일반인, 대학생",2024-11-13 ~ 2024-11-29,,https://icseogu.familynet.or.kr/center/lay1/bbs/S295T311C313/A/7/view.do?article_seq=190366
5·18민주화운동 왜곡·폄훼 대응 아이디어 공모전,분야 : 기획/아이디어,5·18기념재단,289,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93353,/upload/contest/20241113215437_eaefff04.jpg,제한없음,2024-11-11 ~ 2024-12-01,50만원,https://518.org/base/board/read?boardManagementNo=1&boardNo=38972&menuLevel=2&menuNo=9
2024 세종 영어 말하기 대회,분야 : 기타,먼데이타임스,303,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93352,/upload/contest/20241113214922_d08d1e5a.jpg,"청소년, 어린이, 기타",2024-11-01 ~ 2024-11-30,,https://mondaytimes.cafe24.com/notice/27137
2025 문학뉴스 & 시산맥 신춘문예 공모,분야 : 문학/글/시나리오,문학뉴스&시산맥,709,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93351,/upload/contest/20241113212043_e355a073.jpg,"제한없음, 기타",2024-11-12 ~ 2025-01-20,300만원,https://cafe.daum.net/poemmtss/HchM/1636
20224 인천교통공사 고객참여 서비스 아이디어 공모전,분야 : 기획/아이디어,인천교통공사,295,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93350,/upload/contest/20241113210456_b34abde9.jpg,제한없음,2024-11-11 ~ 2024-11-29,,https://www.ictr.or.kr/main/customer/idea.jsp
2526 충남관광 서포터즈 모집,분야 : 대외활동/서포터즈,충청남도,718,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93349,/upload/contest/20241112233706_ea264c29.jpg,제한없음,2024-11-06 ~ 2024-11-25,,https://blog.naver.com/sinmunman/223651520083
개혁리그 : 개혁신당 대학생 공모전,분야 : 기획/아이디어,개혁신당,377,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93348,/upload/contest/20241112182415_ccc44b59.jpg,대학생,2024-11-13 ~ 2024-12-01,500만원,http://reformleague.kr
2024 종로 최고의 사업을 찾아라,분야 : 기획/아이디어,종로구,500,?c=find&s=1&gub=1&gbn=view&gp=6&ix=93347,/upload/contest/20241112181501_1487f63d.jpg,제한없음,2024-10-22 ~ 2024-11-30,100만원,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93347
가인지컨설팅그룹 사례뉴스 학생기자 11기 모집,분야 : 기타,가인지컨설팅그룹,114,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93346,/upload/contest/20241112181101_d877b5ec.jpg,제한없음,2024-11-12 ~ 2024-12-20,,https://www.casenews.co.kr/
국무조정실 청년과 함께하는 3차 토론회(청년참여 거버넌스) 참여단 모집,분야 : 기타,국무조정실,333,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93345,/upload/contest/20241112180620_704d90e0.jpg,"일반인, 대학생, 청소년, 기타",2024-11-08 ~ 2024-11-25,,https://www.2030db.go.kr/user/ntt/BBS_0000000000000001/NTT_0000000000000320/selectNttDetail.do
2024 대한민국패키지디자인대전,분야 : 디자인/캐릭터/웹툰,(사)한국패키지디자인협회,892,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93344,/upload/contest/20241112165504_823d81f8.jpg,"일반인, 대학생",2024-11-25 ~ 2024-11-26,200만원,https://www.kpda.or.kr/competition/?idx=124654939&bmode=view
SAC 스트릿 올라운드 챔피언십 2:2 댄스대회,분야 : 예체능/미술/음악,서울종합예술실용학교,116,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93343,/upload/contest/20241112164040_9ab53c2b.jpg,"일반인, 대학생, 기타",2024-11-04 ~ 2025-01-07,,https://www.sac.ac.kr/event/g_view2.do?cd_gubun=58&idx_event_group=24
2025년 제10회 투데이신문 직장인 신춘문예 작품 공모,분야 : 문학/글/시나리오,투데이신문,757,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93342,/upload/contest/20241112231347_7868b18c.jpg,"일반인, 기타",2024-11-15 ~ 2025-01-31,300만원,https://www.ntoday.co.kr/news/articleView.html?idxno=110868
대한민국 구석구석 여행가는 가을 여행 수기 공모,분야 : 기타,한국관광공사,463,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93341,/upload/contest/20241112230059_9c7a057b.jpg,제한없음,2024-10-17 ~ 2024-12-17,,https://korean.visitkorea.or.kr/travelmonth/event/blog.do
HCN 아름다운 우리동네 사진 공모전,분야 : 영상/UCC/사진,HCN,"1,078",?c=find&s=1&gub=1&gbn=view&gp=7&ix=93340,/upload/contest/20241112220411_0d1b9db4.jpg,기타,2024-11-07 ~ 2024-12-06,50만원,https://www.hcnnews.co.kr/event/contest.html
제27회 고헌 박상진의사 추모 학생글짓기 공모전,분야 : 문학/글/시나리오,(사)고헌 박상진의사 추모사업회,441,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93337,/upload/contest/20241112163521_f455f00f.jpg,청소년,2024-11-01 ~ 2024-12-04,30만원,https://www.iusm.co.kr/event/event162.html
2025 SAC 실용음악예술계열 장학 오디션,분야 : 예체능/미술/음악,서울종합예술실용학교,185,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93335,/upload/contest/20241112160420_4a20d5d2.jpg,"대학생, 기타",2024-10-15 ~ 2025-01-06,,https://www.sac.ac.kr/event/g_view2.do?cd_gubun=58&idx_event_group=31&turn=18
2025 경남신문 신춘문예 공모,분야 : 문학/글/시나리오,경남신문,700,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93334,/upload/contest/20241112185618_85460954.jpg,"제한없음, 기타",2024-11-08 ~ 2024-12-06,300만원,https://www.knnews.co.kr/news/articleView.php?idxno=1446222
수원시 탄소중립 아이디어 공모전,분야 : 기획/아이디어,수원시 탄소중립지원센터,475,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93333,/upload/contest/20241112184959_6c29b8bf.jpg,제한없음,2024-10-21 ~ 2024-11-22,50만원,https://www.suwon.re.kr/board/board.php?bo_table=notice&wr_id=767
경주 APEC과 함께하는 문화예술 경주의 순간을 담다 숏폼 콘텐츠 공모전,분야 : 영상/UCC/사진,경상북도,395,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93331,/upload/contest/20241112184348_c0e3fa63.jpg,제한없음,2024-11-11 ~ 2024-12-10,100만원,https://www.gacf.kr:2035/coding/sub1/sub1.asp?bseq=1&cat=-1&sk=&sv=&yy=&page=1&mode=view&aseq=9322
제17회 서울국제노인영화제 단편경쟁 출품공모,분야 : 영상/UCC/사진,서울노인복지센터,464,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93330,/upload/contest/20241111215034_fe71173c.jpg,제한없음,2024-10-14 ~ 2024-12-31,500만원,http://sisff.seoulnoin.or.kr/notice/19259
2025년 제19기 여성가족부 정책기자단 모집,분야 : 대외활동/서포터즈,여성가족부,743,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93327,/upload/contest/20241111213514_472aa8cb.jpg,제한없음,2024-11-11 ~ 2024-12-01,,https://blog.naver.com/mogefkorea/223655971913
인스타툰·일러스트 공모전,분야 : 디자인/캐릭터/웹툰,한국방송예술진흥원,"1,203",?c=find&s=1&gub=1&gbn=view&gp=7&ix=93322,/upload/contest/20241112235745_ae86b4d7.jpg,"청소년, 기타",2024-10-30 ~ 2025-07-25,"상금 50만원 외 상장, 입학 시 300만원 장학금",https://kbatv.org/event/event_view.asp?ModeType=&part=CT00&sYear=ALL&page=1&pk=655
제1회 조달청 SNS 콘텐츠 공모전,분야 : 광고/마케팅,조달청,456,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93321,/upload/contest/20241111210701_32f87354.jpg,제한없음,2024-11-11 ~ 2024-12-08,100만원,https://blog.naver.com/ppspr/223652117345
22회 전국고교성우대회,분야 : 기타,한국방송예술진흥원,172,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93320,/upload/contest/20241113000140_793df132.jpg,"청소년, 기타",2024-11-12 ~ 2025-07-17,"상금 100만원 외 상장, 입학 시 400만원 장학금",https://kbatv.org/event/event_view.asp?ModeType=&part=CT00&sYear=ALL&page=1&pk=656
2024 계룡시 콘텐츠 공모전,분야 : 광고/마케팅,계룡시,290,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93319,/upload/contest/20241111210316_99fe11c5.jpg,제한없음,2024-11-08 ~ 2024-12-15,140만원,https://gyeryong.go.kr/kr/html/sub03/030101.html?mode=V&site_dvs_cd=kr&menu_dvs_cd=030101&code=kr_030101&no=fc4fa5207f569a0e6702cfdacc4e2f56&GotoPage=1&group_at=kr_030101
2024 하반기 서대문구 SNS 콘텐츠 공모전,분야 : 영상/UCC/사진,서대문구,452,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93318,/upload/contest/20241113223700_faa4780b.jpg,제한없음,2024-11-04 ~ 2024-11-29,100만원,https://www.sdm.go.kr/news/news/notice.do?mode=view&sdmBoardSeq=297598
2025 세계아동미술대회,분야 : 예체능/미술/음악,월간교육신문,424,?c=find&s=1&gub=1&gbn=view&gp=7&ix=93315,/upload/contest/20241111205453_a0441198.jpg,어린이,2024-11-15 ~ 2025-01-09,,https://www.kidjob.co.kr/kboard/kboard.php?board=news&act=view&no=466
2024년 승기천 사진 공모전,분야 : 영상/UCC/사진,연수구,285,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93314,/upload/contest/20241113230523_07d2ce83.jpg,제한없음,2024-11-01 ~ 2024-11-30,,https://blog.naver.com/yeonsulife/223641287549
2024년 충북지역장애인보건의료센터 장애인 건강권 숏츠(Shorts) 공모전,분야 : 영상/UCC/사진,충북지역장애인보건의료센터,231,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93312,/upload/contest/20241111170833_816f4a35.jpg,"제한없음, 기타",2024-11-11 ~ 2024-11-29,,https://www.cbrh.or.kr/notice/notice/read.jsp?no=132
2024 계명대학교 공자아카데미 중국어 논술대회,분야 : 논문/리포트,계명대학교,153,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93311,/upload/contest/20241111161403_9cc4b7f6.jpg,대학생,2024-11-13 ~ 2024-11-22,50만원,http://contest.kongzi.ac.kr
2024년 제4회 정읍시 Shorts 영상 공모전,분야 : 영상/UCC/사진,정읍시,250,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93307,/upload/contest/20241113235250_802e6148.jpg,제한없음,2024-11-06 ~ 2024-11-27,90만원,https://blog.naver.com/jeongeupnews/223648961399
2024 계양구 청년 아이디어 공모전,분야 : 기획/아이디어,계양구,221,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93306,/upload/contest/20241119225533_3a61d52f.jpg,기타,2024-11-11 ~ 2024-11-29,50만원,https://blog.naver.com/gyeyang_gu/223649462498
"2024 디카시 공모전 (문학의 도시 원주, 디카시로 만나는 박경리의 세계)",분야 : 문학/글/시나리오,원주시,319,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93305,/upload/contest/20241114002723_95de9dbd.jpg,제한없음,2024-11-11 ~ 2024-12-06,100만원,https://www.wonju.go.kr/tojipark/selectBbsNttView.do?nttNo=448796&bbsNo=1016&key=4159
제72회 세계 한센병의 날 한센병 바로 알기 영상 공모전,분야 : 영상/UCC/사진,한국한센복지협회,410,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93303,/upload/contest/20241111152328_a24c007d.jpg,제한없음,2024-11-04 ~ 2024-12-06,100만원,http://khwa.or.kr/sub.asp?maincode=488&sub_sequence=494&sub_sub_sequence=&mskin=&exec=view&strBoardID=kui_494&intPage=1&intCategory=0&strSearchCategory=|s_name|s_subject|&strSearchWord=&intSeq=13587
2024 대국민 혁신 아이디어 공모전,분야 : 기획/아이디어,강원개발공사,739,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93302,/upload/contest/20241111151548_a88f3f76.jpg,제한없음,2024-11-11 ~ 2024-11-22,100만원,https://www.gdco.co.kr/customer/notice_view.php?intSeq=5058&strBoardID=NOTI&page=1&pageSize=10
제1회 부산 기장 콘텐츠 공모전,분야 : 영상/UCC/사진,기장군,515,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93300,/upload/contest/20241114003253_7bd57ae6.jpg,기타,2024-11-11 ~ 2024-12-11,200만원,https://blog.naver.com/bskijang/223658464655
갤럭시 대학생 서포터즈 5기 모집,분야 : 대외활동/서포터즈,삼성전자,"1,367",?c=find&s=1&gub=1&gbn=view&gp=8&ix=93299,/upload/contest/20241112162642_c4696e66.jpg,대학생,2024-11-11 ~ 2024-11-30,,https://www.samsungebiz.com/event/galaxycampus/gcsPromotion/galaxy_supporters5/
제3회 대한민국 디지털 인재 양성 프로젝트 공모전,분야 : 취업/창업,DGB금융그룹,468,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93297,/upload/contest/20241111143212_3e2d6bd2.jpg,대학생,2024-11-11 ~ 2024-12-22,"1,000만원",https://dgb-challenger.co.kr/
2024 Nonsense 대학생 앰버서더 모집,분야 : 대외활동/서포터즈,Nonsense,756,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93296,/upload/contest/20241111142615_4577ca06.jpg,대학생,2024-11-11 ~ 2024-11-22,,https://www.nonsense.com/ko/ambassador
통영 용호도 고양이섬 활성화 아이디어 공모전,분야 : 기획/아이디어,통영시,289,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93295,/upload/contest/20241114004214_dccdf85a.jpg,제한없음,2024-11-11 ~ 2024-11-25,200만원,https://www.tongyeong.go.kr/00852/00853/00858.web?not_ancmt_mgt_no=45157&amode=view
제19회 2024 한국공간디자인 전국 공모전,분야 : 문학/글/시나리오,한국공간디자인협회,448,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93289,/upload/contest/20241112014206_3ee235a7.jpg,"일반인, 대학생, 기타",2024-11-01 ~ 2024-11-22,300만원,http://www.kosda.org/bbs/board.php?bo_table=v4_01&wr_id=80
제2회 김복진미술상 공모,분야 : 예체능/미술/음악,청주시,210,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93287,/upload/contest/20241112012700_65cfd5d8.jpg,기타,2024-11-04 ~ 2024-11-24,"2,000만원",https://cmoa.cheongju.go.kr/www/selectBbsNttView.do?key=72&bbsNo=5&nttNo=2149
2025 KCDF 공예·디자인 공모전시 모집,분야 : 예체능/미술/음악,문화체육관광부,229,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93286,/upload/contest/20241112005639_3cd6a272.jpg,기타,2024-11-04 ~ 2024-11-22,,https://www.kcdf.or.kr/brd/board/337/L/menu/284?brdType=R&thisPage=1&bbIdx=7960&brdCodeValue=
양주시 고향사랑기금 사업 아이디어 공모전,분야 : 기획/아이디어,양주시,173,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93285,/upload/contest/20241112005152_bffcff76.jpg,제한없음,2024-10-29 ~ 2024-11-24,50만원,https://www.yangju.go.kr/www/selectBbsNttView.do?key=202&bbsNo=13&nttNo=185003
2025년 APEC 정상회의 공식 슬로건 공모전,분야 : 네이밍/슬로건,2025APEC정상회의준비지원단,945,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93283,/upload/contest/20241113200553_b6634018.jpg,제한없음,2024-11-12 ~ 2024-12-01,300만원,https://gb.go.kr/Main/page.do?mnu_uid=6789&BD_CODE=gosi_notice&cmd=2&B_NUM=465766401&B_STEP=465766400&
제5회 국립대학 육성사업 영상 콘텐츠 공모전,분야 : 영상/UCC/사진,국립대학 육성사업 발전협의회,345,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93281,/upload/contest/20241111221930_92d50c0d.jpg,"대학생, 기타",2024-10-25 ~ 2024-12-22,300만원,https://knu39.or.kr/bbs/board.php?bo_table=festival&wr_id=30
2024 BUFS 전국 중·고교생 AI 영어 스피치 대회,분야 : 기타,부산외국어대학교,291,?c=find&s=1&gub=1&gbn=view&gp=8&ix=93278,/upload/contest/20241108201348_04c2806e.jpg,청소년,2024-11-18 ~ 2024-11-29,100만원,https://bufsaienglish.co.kr/
NH오늘농사 ﻿요리·행복 종합 공모전,분야 : 기타,NH오늘농사,435,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93276,/upload/contest/20241108200146_1211042b.jpg,제한없음,2024-11-11 ~ 2024-11-24,,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93276
부정선거 통계분석 공모전,분야 : 과학/공학,부정선거 부패방지대 황교안 (제44대 국무총리),417,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93274,/upload/contest/20241108190242_9a3325d3.jpg,제한없음,2024-11-08 ~ 2024-11-30,500만원,https://blog.naver.com/hgw7890/223627697756
부정선거 동영상 공모전,분야 : 영상/UCC/사진,부정선거 부패방지대 황교안 (제44대 국무총리),497,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93273,/upload/contest/20241108185940_1ecc611c.jpg,제한없음,2024-11-08 ~ 2024-11-30,500만원,https://blog.naver.com/hgw7890/223627697756
2025 Hult prize on-campus 스타트업 경진대회,분야 : 기획/아이디어,Hult prize,365,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93266,/upload/contest/20241108184222_1bd279c8.jpg,"대학생, 기타",2024-11-04 ~ 2024-11-30,,https://www.instagram.com/hultprize_scnu/
2024 SBAX슈퍼빌런랩스 게임 콘테스트 공모전,분야 : 게임/소프트웨어,"서울특별시,서울경제진흥원(SBA),슈퍼빌런랩스",470,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93265,/upload/contest/20241111131630_84d033d2.jpg,"대학생, 청소년",2024-11-07 ~ 2024-11-28,500만원,https://www.sba.seoul.kr/Pages/CustomerCenter/NoticeDetail.aspx?id=cc0a478f-df9c-ef11-b403-d4f5ef4a1e33&s_op=&s_txt=&t=#
경상북도교육청 2024 감사 나눔 영상 공모전,분야 : 영상/UCC/사진,경상북도교육청,367,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93264,/upload/contest/20241109191539_bbf66eeb.jpg,기타,2024-11-01 ~ 2024-12-06,,https://www.gbe.kr/
[고양시흰돌종합사회복지관] 추억의 한 페이지 마을 추억 사진 공모전,분야 : 영상/UCC/사진,고양시흰돌종합사회복지관,288,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93263,/upload/contest/20241118130258_07db1bbb.jpg,기타,2024-10-14 ~ 2024-11-29,,http://www.heendol.or.kr/
친환경 자원순환센터 슬로건 공모전,분야 : 네이밍/슬로건,인천광역시,972,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93262,/upload/contest/20241109184700_d18496e9.jpg,제한없음,2024-11-05 ~ 2024-12-01,,https://www.incheon.go.kr/
2025년 근로·자녀장려금 체험수기 공모전,분야 : 기타,국세청,283,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93259,/upload/contest/20241109175818_c3caf702.jpg,기타,2024-11-06 ~ 2024-12-31,150만원,https://www.nts.go.kr/nts/na/ntt/selectNttInfo.do?mi=2207&bbsId=1011&nttSn=1337888
2024 제11회 서울국제일러스트레이션 공모전,분야 : 디자인/캐릭터/웹툰,사단법인 서울미술협회,"1,341",?c=find&s=1&gub=1&gbn=view&gp=9&ix=93258,/upload/contest/20241108165931_1c865400.jpg,제한없음,2024-11-15 ~ 2024-11-29,,https://www.sfa.or.kr/board/notice/72?parentId=&menuId=9
2025년 아시아 기계체조선수권대회 상징 디자인 공모전,분야 : 디자인/캐릭터/웹툰,제천시,528,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93257,/upload/contest/20241108233134_3b900a62.jpg,기타,2024-11-01 ~ 2024-11-30,350만원,https://www.jecheon.go.kr/www/selectBbsNttView.do?key=5233&bbsNo=18&nttNo=359719
2025년 아시아 롤러선수권대회 상징물 디자인 공모전,분야 : 디자인/캐릭터/웹툰,제천시,461,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93256,/upload/contest/20241111140814_6641594d.jpg,기타,2024-11-08 ~ 2024-12-06,350만원,https://www.jecheon.go.kr/www/selectBbsNttView.do?key=5233&bbsNo=18&nttNo=359953
2024 코리아 푸드테크 아이디어 공모전,분야 : 기획/아이디어,"경기도농수산진흥원, 월드푸드테크협의회",677,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93255,/upload/contest/20241108104920_ecf4b193.jpg,제한없음,2024-11-06 ~ 2024-12-06,200만원,https://www.gafi.or.kr/web/board/boardContentsView.do?menu_id=9d7a4fa3cd784b2ea1ab192315847444&contents_id=72083c2e88bc4a45853d0981d8855bb2&board_id=42
제1회 KNOU 숏폼 영상제,분야 : 영상/UCC/사진,한국방송통신대학교,861,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93253,/upload/contest/20241108221221_42ab8aa1.jpg,제한없음,2024-11-01 ~ 2024-12-31,150만원,https://blog.naver.com/knou0000/223639864597
2024년 광주교육 시민소통 콘텐츠 공모전,분야 : 영상/UCC/사진,광주광역시교육청,249,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93251,/upload/contest/20241108215810_f596db28.jpg,기타,2024-10-24 ~ 2024-11-26,100만원,https://www.gen.go.kr/xboard/board.php?mode=view&number=431707&tbnum=20
멘탈&웰니스 아트 제2의 쿠사마 야요이를 찾습니다,분야 : 예체능/미술/음악,내러티브웨이,331,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93250,/upload/contest/20241107225134_350c3971.jpg,제한없음,2024-11-07 ~ 2024-11-22,,https://www.narrativemuseum.com/channels/L2NoYW5uZWxzLzE3NzQ/pages/sample-page
제4회 광주학교자치 아이디어·사례 공모전,분야 : 기획/아이디어,광주광역시교육청,201,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93249,/upload/contest/20241108215246_ad8309bb.jpg,기타,2024-11-04 ~ 2024-11-29,20만원,https://www.gen.go.kr/xboard/board.php?mode=view&number=431864&tbnum=20
제5회 순천만국가정원 화훼장식 경진대회 - 순천만국가정원 FLOWER SHOW 참여작가 모집,분야 : 예체능/미술/음악,순천시,160,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93246,/upload/contest/20241107222219_aed90c36.jpg,제한없음,2024-11-23 ~ 2024-11-25,300만원,http://www.gardenist.co.kr/notice/112
이월드 공식 포토그래퍼 7기 모집,분야 : 대외활동/서포터즈,이월드,703,?c=find&s=1&gub=1&gbn=view&gp=9&ix=93244,/upload/contest/20241107221727_e5d2ebe2.jpg,제한없음,2024-11-07 ~ 2024-11-30,,https://blog.naver.com/eworld_dg/223651080600
