공모명,분야,주최 기관,조회수,링크,이미지,응모대상,접수기간,1등 상금,홈페이지
경남 신규 로케이션 발굴 공모,분야 : 기획/아이디어,경남영상자료관,146,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93490,/upload/contest/20241120021906_069e79d2.jpg,제한없음,2024-11-12 ~ 2024-12-03,,https://gcaf.or.kr/bbs/board.php?bo_table=sub3_1&wr_id=1758&me_code=a020
2025년도 탄소중립 연구과제 제안서 및 생활실천 아이디어 공모전,분야 : 기획/아이디어,제주탄소중립지원센터,249,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93489,/upload/contest/20241120021520_52500b9c.jpg,기타,2024-11-12 ~ 2024-12-02,50만원,http://jejunetzero.re.kr/bbs/board.php?bo_table=5_1_1_1&wr_id=42
컴투스 대학생 서포터즈 플레이어 13기 모집,분야 : 대외활동/서포터즈,컴투스,432,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93488,/upload/contest/20241119160246_085310c7.jpg,대학생,2024-11-18 ~ 2024-12-02,,https://welcome.com2us.com/ko?r=p1
장애인 환경 개선을 위한 R&D 혁신 아이디어 공모전,분야 : 기획/아이디어,한국산업기술기획평가원,331,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93487,/upload/contest/20241119155535_a44288fd.jpg,제한없음,2024-11-12 ~ 2024-11-29,100만원,https://www.keit.re.kr/board.es?mid=a10301010000&bid=0009&act=view&list_no=125919&act=view&list_no=125919
2024 문화여가 생활관측소 서비스 기반 정책·업무 활용 아이디어 공모전,분야 : 기획/아이디어,한국문화정보원,259,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93486,/upload/contest/20241119132401_4b080afe.jpg,제한없음,2024-11-18 ~ 2024-12-02,50만원,https://www.bigdata-culture.kr/bigdata/user/board/view.do?sq=686&board_code=notice&search=eyJib2FyZF9jb2RlIjoibm90aWNlIn0=
대림미술관│디뮤지엄  디서포터즈 8기 모집,분야 : 대외활동/서포터즈,대림미술관│디뮤지엄,418,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93485,/upload/contest/20241119131618_2bec7fc0.jpg,대학생,2024-11-19 ~ 2024-11-24,,https://www.daelimmuseum.org/noticeDetail/70
전주프로젝트 슛 인 전주(Shoot in Jeonju) 공모,분야 : 영상/UCC/사진,전주국제영화제,214,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93483,/upload/contest/20241120020737_ea72fcb0.jpg,기타,2024-11-11 ~ 2024-11-28,"2,500만원",https://www.jeonjufest.kr/Community/notice/view.asp?idx=8695
Nitto Open Innovation Challenge,분야 : 기획/아이디어,Nitto,255,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93482,/upload/contest/20241119123749_fb36d6c0.jpg,제한없음,2024-11-18 ~ 2024-12-27,300만원,https://www.nitto.com/kr/ko/
제17회 전주프로젝트 전주랩 2025,분야 : 영상/UCC/사진,전주국제영화재,228,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93481,/upload/contest/20241120020334_c495fa6a.jpg,기타,2024-11-04 ~ 2024-12-20,,https://entry.jeonjufest.kr/fund.asp
2025년도 꿈 실현 인생학교 대학생 멘토 모집,분야 : 봉사활동,전남미래교육재단,186,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93480,/upload/contest/20241119121442_7419c1ed.jpg,대학생,2024-11-11 ~ 2024-11-24,,https://jnmirae.da.jne.kr/
제30회 서울중구 사진공모전,분야 : 영상/UCC/사진,서울 중구문화원,285,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93479,/upload/contest/20241120015452_2536ea53.jpg,제한없음,2024-10-01 ~ 2024-11-22,100만원,http://www.junggucc.or.kr/bbs/board.php?bo_table=sub06_01&wr_id=165
2024년 중구문예 32호 제22회 중구문예 문학상 작품공모,분야 : 문학/글/시나리오,중구문화원,309,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93478,/upload/contest/20241120013543_ac6f41dc.jpg,기타,2024-10-25 ~ 2024-11-25,20만원,https://blog.naver.com/junggu4u/223655896081
제2기 iM증권 고객 우수제안 모집,분야 : 기획/아이디어,iM증권,100,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93477,/upload/contest/20241120002215_9ce77016.jpg,기타,2024-11-01 ~ 2025-01-31,,https://www.imfnsec.com/
2025 사단법인 한국극작가협회 신춘문예 공모,분야 : 문학/글/시나리오,한국극작가협회,298,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93475,/upload/contest/20241119234430_c1471c06.jpg,"제한없음, 기타",2024-11-12 ~ 2024-12-30,200만원,http://www.playwright.or.kr/xe/board_zpln12/19544
신한투자증권 대학생 펜슈머 클럽 쏠-루션 2기 모집,분야 : 대외활동/서포터즈,신한투자증권,551,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93474,/upload/contest/20241118225522_c4aa4433.jpg,대학생,2024-11-18 ~ 2024-12-22,,https://sol-ution.super.site/
제천시 소상공인 응원을 위한 제제와 천천이 캐릭터 디자인 공모전,분야 : 디자인/캐릭터/웹툰,제천시,520,?c=find&s=1&gub=1&gbn=view&gp=3&ix=93469,/upload/contest/20241119032553_2ab9f979.jpg,제한없음,2024-11-18 ~ 2024-12-20,150만원,https://blog.naver.com/okjc9671/223664527595
제2회 함안지방공사 ESG·혁신 경영 아이디어 공모전,분야 : 기획/아이디어,함안지방공사,181,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93468,/upload/contest/20241119030929_22990395.jpg,제한없음,2024-11-07 ~ 2024-11-22,,http://www.halc.co.kr/sub.html?code=07_03_01&Radd=07_03_01&mode=view&no=625
브루브 예술 크리에이터 포트폴리오 공모전,분야 : 예체능/미술/음악,브루브,174,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93466,/upload/contest/20241119030459_a9953bfb.jpg,기타,2024-11-05 ~ 2024-12-05,100만원,https://www.instagram.com/p/DCVtfrqvAI3
울산대학교병원 히어로 찾기 - 우수 의료진 미담 발굴 프로젝트,분야 : 기타,울산대학교병원,82,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93465,/upload/contest/20241119021240_fa1fd5a3.jpg,제한없음,2024-11-11 ~ 2024-11-29,50만원,https://www.uuh.ulsan.kr/kr/?pCode=MN0000096&mode=view&idx=1875
2024년 제1회 인천출판문화상 공모,분야 : 문학/글/시나리오,"인천출판문화대상조직위원회, 인천투데이",449,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93463,/upload/contest/20241119015818_9e38a5a8.jpg,기타,2024-11-01 ~ 2024-11-30,300만원,https://www.incheontoday.com/event/event12.html
제12회 전북민주언론상 후보작 공모,분야 : 기타,전북민주언론시민연합,67,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93462,/upload/contest/20241119013225_fd42e352.jpg,기타,2024-11-25 ~ 2024-12-01,,https://www.malhara.or.kr/426539
에어서울 고3 우리반 릴스 데뷔전,분야 : 영상/UCC/사진,에어서울,123,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93461,/upload/contest/20241119012722_5156ae38.jpg,기타,2024-11-15 ~ 2024-12-09,,https://flyairseoul.com/CW/ko/eventView.do?seq=1871&type=I
포스코와 함께하는 학생 로봇 아이디어 경진대회,분야 : 과학/공학,"포스코, 광양시",295,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93460,/upload/contest/20241118173128_628a870c.jpg,"일반인, 대학생",2024-11-11 ~ 2024-11-25,100만원,https://miracleclub.kr/seminar/1802/
덜 달게 먹기 실천 포스터 그리기 이벤트,분야 : 예체능/미술/음악,서울특별시 식생활종합지원센터,412,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93459,/upload/contest/20241118171401_684b1cf9.jpg,"청소년, 어린이",2024-11-18 ~ 2024-12-13,,https://www.seoulnutri.co.kr/center-event/489.do
서경대학교 대학일자리플러스본부 숏폼 콘텐츠 공모전,"분야 : 기획/아이디어, 광고/마케팅, 영상/UCC/사진, 예체능/미술/음악, 기타",서경대학교,222,?c=find&s=1&gub=1&gbn=view&gp=4&ix=93457,/upload/contest/20241118170831_33f4a059.jpg,"일반인, 대학생, 기타",2024-11-18 ~ 2025-01-05,50만원,https://job.skuniv.ac.kr/notice/1777/
